nfi_plot,loc_id,VARIABLE,AFTER_EVENT_TYPE,VALUE_BEFORE,VALUE_AFTER
971356,0,Bryophytes,NO DIST NO TREAT,9.16,0
909476,0,Bryophytes,NO DIST NO TREAT,10.68,0
1197591,0,Lg Live Tree,NO DIST NO TREAT,25.68,0
1280171,0,Lg Live Tree,NO DIST NO TREAT,47.61,0
1252721,1,Lg Live Tree,NO DIST NO TREAT,146.86,0
1080481,0,Sm Shrub,NO DIST NO TREAT,2.11,0
950721,0,Sm Shrub,NO DIST NO TREAT,2.76,0
1005781,0,Sm Shrub,NO DIST NO TREAT,3.22,0
971356,0,Sm Shrub,NO DIST NO TREAT,5.62,0
