nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,species_smtnum,bindex_stshannon,bindex_steven,bindex_stmargalef,plotbio_smt_stemwood_live,plotbio_smt_stembark_live,plotbio_smt_branches_live,plotbio_smt_foliage_live,plotbio_smt_stemwood_dead,plotbio_smt_stembark_dead,plotbio_smt_branches_dead
923201,0,2015-AUG-13,1,STC,0.0050,0.0050,N,3,0.84,0.76,0.65,2.65,1.08,1.34,1.35,0.03,0.01,0.01
929016,0,2004-AUG-28,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,13.93,3.29,2.27,5.77,0.00,0.00,0.00
929016,0,2018-AUG-23,1,STC,0.0050,0.0050,N,1,0.00,,0.00,26.53,5.79,3.30,7.94,0.00,0.00,0.00
929021,0,2004-AUG-29,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,5.00,1.23,0.88,2.41,1.16,0.29,0.18
929021,0,2018-AUG-24,1,STC,0.0050,0.0050,N,1,0.00,,0.00,9.51,2.23,1.49,3.91,0.96,0.24,0.17
929061,0,2005-AUG-05,0,STC,-1.0000,0.0050,F,4,0.74,0.53,0.90,3.22,0.87,0.44,1.18,2.52,0.12,0.06
929061,0,2018-AUG-29,1,STC,0.0050,0.0050,N,2,0.28,0.40,0.24,6.48,1.77,0.94,3.10,3.30,0.77,0.38
929066,0,2005-AUG-06,0,STC,-1.0000,0.0050,F,2,0.35,0.50,0.28,9.58,2.28,1.72,3.39,3.97,1.07,0.18
929901,0,2006-JUL-29,0,STC,0.0040,0.0040,F,3,0.35,0.32,0.64,19.14,3.38,4.74,8.84,0.00,0.00,0.00
929901,0,2015-JUL-18,1,STC,0.0050,0.0050,N,2,0.16,0.23,0.31,18.83,3.42,4.67,7.66,1.84,0.34,0.67
929911,0,2006-JUL-28,0,STC,0.0040,0.0040,F,1,0.00,,0.00,0.02,0.00,0.00,0.03,0.00,0.00,0.00
929911,0,2015-SEP-26,1,STC,0.0050,0.0050,N,2,0.53,0.76,0.46,0.40,0.08,0.10,0.34,0.00,0.00,0.00
930101,0,2002-SEP-23,0,STC,-1.0000,0.0050,F,4,0.93,0.67,1.04,1.92,0.69,0.72,0.88,0.00,0.00,0.00
930101,0,2011-NOV-03,1,STC,0.0050,0.0050,N,6,1.29,0.72,1.22,10.25,2.86,2.20,2.14,0.19,0.07,0.04
935891,0,2004-AUG-30,0,STC,-1.0000,0.0050,F,2,0.69,0.99,0.36,1.74,0.42,0.35,0.97,4.17,0.94,0.57
936756,0,2006-JUL-27,0,STC,0.0040,0.0040,F,2,0.61,0.88,0.43,0.46,0.10,0.22,0.71,0.00,0.00,0.00
936756,0,2014-AUG-18,1,STC,0.0050,0.0050,N,2,0.60,0.86,0.51,0.30,0.07,0.71,2.10,1.12,0.20,0.17
936761,0,2006-JUL-25,0,STC,0.0040,0.0040,F,4,0.93,0.67,0.65,6.62,1.18,3.02,3.60,0.00,0.00,0.00
936761,0,2014-AUG-16,1,STC,0.0050,0.0050,N,4,1.03,0.74,0.63,6.86,1.27,3.31,5.33,0.08,0.01,0.05
936786,1,2014-SEP-28,0,STC,0.0050,0.0050,N,2,0.69,1.00,0.28,5.30,1.00,1.98,5.48,0.00,0.00,0.00
936896,0,2003-NOV-12,0,STC,-1.0000,0.0050,F,3,0.95,0.86,1.24,1.85,0.43,1.01,1.01,0.64,0.19,0.15
936896,0,2011-SEP-20,1,STC,0.0050,0.0050,N,3,0.90,0.82,0.72,0.24,0.15,0.09,0.11,0.00,0.00,0.00
942786,0,2004-SEP-01,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.24,0.08,0.06,0.28,2.29,0.58,0.42
942786,0,2018-AUG-25,1,STC,0.0050,0.0050,N,1,0.00,,0.00,4.35,1.07,0.28,0.63,0.00,0.00,0.00
943621,0,2006-AUG-12,0,STC,0.0040,0.0040,F,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
943621,0,2014-AUG-13,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.03,0.01,0.01,0.06,0.00,0.00,0.00
943691,1,2015-SEP-28,0,STC,0.0050,0.0050,N,2,0.56,0.81,0.48,3.57,0.58,0.61,1.34,2.68,0.46,0.78
943746,0,2006-JUL-14,0,STC,0.0040,0.0040,F,3,0.93,0.85,0.41,13.40,5.27,5.48,3.61,0.04,0.03,0.02
943766,0,2003-NOV-06,0,STC,-1.0000,0.0050,F,3,0.92,0.84,0.63,12.35,3.73,6.96,6.09,0.00,0.00,0.00
943766,0,2013-OCT-08,1,STC,0.0050,0.0050,N,3,0.75,0.69,0.68,13.98,3.38,3.33,3.45,0.00,0.00,0.00
949656,0,2004-SEP-02,0,STC,-1.0000,0.0050,F,2,0.61,0.88,0.43,5.44,1.18,0.90,1.82,0.00,0.00,0.00
949656,0,2018-AUG-27,1,STC,0.0050,0.0050,N,2,0.64,0.92,0.91,3.59,0.71,0.71,0.92,0.00,0.00,0.00
950551,1,2015-AUG-02,0,STC,0.0050,0.0050,N,4,1.09,0.79,0.78,7.45,1.35,2.56,6.68,0.00,0.00,0.00
950576,1,2015-SEP-25,0,STC,0.0050,0.0050,N,7,1.61,0.83,1.28,10.50,1.81,3.10,7.08,0.27,0.04,0.12
950636,0,2003-NOV-05,0,STC,-1.0000,0.0050,F,4,1.19,0.86,0.91,5.88,1.72,2.60,2.80,0.00,0.00,0.00
950636,0,2011-SEP-12,1,STC,0.0050,0.0050,N,1,0.00,,0.00,8.54,2.34,1.96,2.50,0.00,0.00,0.00
950721,0,2003-SEP-15,0,STC,-1.0000,0.0050,F,6,0.86,0.48,1.28,0.70,0.51,0.41,0.32,0.00,0.00,0.00
950721,0,2013-NOV-05,1,STC,0.0050,0.0050,N,5,1.32,0.82,1.02,6.82,2.58,3.24,2.27,0.00,0.00,0.00
956641,0,2004-JUL-19,0,STC,-1.0000,0.0050,F,2,0.18,0.26,0.32,6.09,1.37,0.95,2.18,0.31,0.08,0.05
956641,0,2015-AUG-26,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,5.27,1.03,0.61
957376,1,2014-AUG-12,0,STC,0.0050,0.0050,N,3,0.82,0.75,0.67,1.17,0.22,0.59,1.75,1.38,0.28,0.74
957406,1,2014-SEP-25,0,STC,0.0050,0.0050,N,3,0.64,0.58,0.87,9.56,1.69,1.46,2.75,8.02,1.41,0.88
957441,1,2015-SEP-24,0,STC,0.0050,0.0050,N,3,0.73,0.67,0.67,1.39,0.30,0.50,1.49,0.00,0.00,0.00
957571,0,2003-NOV-25,0,STC,-1.0000,0.0050,F,5,1.43,0.89,1.31,4.23,1.21,2.08,2.19,0.00,0.00,0.00
957571,0,2011-SEP-28,1,STC,0.0050,0.0050,N,3,0.81,0.74,0.71,2.10,0.75,0.86,1.03,0.00,0.00,0.00
957621,0,2004-SEP-07,0,STC,-1.0000,0.0050,F,2,0.66,0.95,0.32,7.34,1.88,0.56,1.41,2.32,0.82,0.60
957621,0,2011-NOV-02,1,STC,0.0050,0.0050,N,3,0.88,0.80,0.74,9.70,1.93,2.43,3.36,3.61,0.99,0.93
963446,0,2004-AUG-27,0,STC,-1.0000,0.0030,F,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
963446,0,2018-AUG-19,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
963511,0,2004-JUL-19,0,STC,-1.0000,0.0050,F,3,0.86,0.78,0.74,7.25,1.58,0.86,1.87,2.03,0.43,0.22
963511,0,2015-AUG-25,1,STC,0.0050,0.0050,N,3,1.01,0.92,0.74,3.13,0.79,0.51,0.99,3.71,0.79,0.45
963521,0,2004-JUL-19,0,STC,-1.0000,0.0050,F,2,0.11,0.16,0.22,4.02,1.39,1.12,1.34,0.82,0.00,0.00
963521,0,2015-AUG-26,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.44,0.16,0.08
964391,0,2003-OCT-22,0,STC,-1.0000,0.0050,F,8,1.99,0.96,2.73,7.63,1.85,3.51,1.95,0.00,0.00,0.00
964391,0,2013-SEP-18,1,STC,0.0050,0.0050,N,5,1.56,0.97,2.23,2.83,0.68,1.15,0.96,1.23,0.19,0.17
964406,0,2003-NOV-04,0,STC,-1.0000,0.0050,F,3,1.01,0.92,1.12,2.73,1.01,1.39,0.37,0.00,0.00,0.00
964406,0,2011-SEP-13,1,STC,0.0050,0.0050,N,2,0.68,0.99,0.51,1.15,0.55,0.50,0.09,0.00,0.00,0.00
964446,0,2003-NOV-26,0,STC,-1.0000,0.0050,F,5,1.40,0.87,1.41,8.95,2.18,3.23,2.22,0.00,0.00,0.00
964446,0,2011-SEP-27,1,STC,0.0050,0.0050,N,3,1.00,0.91,1.03,4.25,0.73,1.77,1.42,0.00,0.00,0.00
964496,0,2003-SEP-25,0,STC,-1.0000,0.0050,F,4,0.98,0.70,0.75,21.70,2.68,5.02,3.71,0.00,0.00,0.00
964496,0,2011-NOV-02,1,STC,0.0050,0.0050,N,4,1.16,0.83,1.17,7.35,0.63,1.34,0.83,0.50,0.04,0.16
970321,0,2004-AUG-25,0,STC,-1.0000,0.0050,F,2,0.56,0.81,0.72,0.07,0.03,0.02,0.06,0.00,0.00,0.00
970321,0,2018-AUG-20,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.30,0.11,0.09,0.09,0.00,0.00,0.00
970336,0,2005-JUL-27,0,STC,-1.0000,0.0050,F,2,0.34,0.48,0.34,0.39,0.19,0.15,0.19,3.39,0.09,0.06
970336,0,2018-AUG-28,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.04,0.01,0.01,0.04,0.00,0.00,0.00
971181,0,2006-AUG-09,0,STC,0.0040,0.0040,F,4,0.88,0.63,0.97,0.15,0.04,0.07,0.40,0.00,0.00,0.00
971181,0,2014-SEP-12,1,STC,0.0050,0.0050,N,2,0.33,0.47,0.43,3.12,0.59,1.26,2.67,0.00,0.00,0.00
971196,1,2014-SEP-24,0,STC,0.0050,0.0050,N,4,0.77,0.56,0.63,38.98,6.91,6.48,14.93,2.77,0.57,0.59
971201,0,2006-AUG-10,0,STC,0.0040,0.0040,F,1,0.00,,0.00,8.59,1.53,2.26,4.23,0.00,0.00,0.00
971201,0,2015-SEP-27,1,STC,0.0050,0.0050,N,1,0.00,,0.00,6.10,1.08,1.29,2.51,0.10,0.02,0.03
971276,0,2003-OCT-21,0,STC,-1.0000,0.0050,F,4,1.29,0.93,0.97,10.20,1.91,6.74,3.54,0.00,0.00,0.00
971276,0,2013-SEP-18,1,STC,0.0050,0.0050,N,3,1.09,0.99,0.78,12.11,2.07,3.03,2.87,0.00,0.00,0.00
971281,0,2003-NOV-06,0,STC,-1.0000,0.0050,F,5,1.53,0.95,1.56,6.90,2.15,3.46,1.11,0.00,0.00,0.00
971281,0,2008-SEP-17,1,STC,0.0050,0.0050,N,5,1.45,0.90,1.52,5.30,1.25,1.84,0.64,1.37,0.28,0.27
971281,0,2018-OCT-17,2,STC,0.0050,0.0050,N,4,1.28,0.92,1.30,6.71,1.36,1.54,0.80,0.03,0.01,0.03
971356,0,2003-OCT-21,0,STC,-1.0000,0.0050,Q,2,0.68,0.99,0.30,7.71,1.65,2.69,3.92,0.00,0.00,0.00
971356,0,2013-NOV-08,1,STC,0.0050,0.0050,N,2,0.67,0.97,0.23,35.53,6.92,10.94,14.65,0.22,0.05,0.51
977196,0,2004-AUG-26,0,STC,-1.0000,0.0050,F,2,0.64,0.92,0.56,0.26,0.11,0.19,0.08,0.06,0.02,0.08
977196,0,2018-AUG-26,1,STC,0.0050,0.0050,N,2,0.45,0.65,0.56,1.01,0.31,0.30,0.25,0.00,0.00,0.00
977211,0,2004-SEP-03,0,STC,-1.0000,0.0050,F,2,0.61,0.88,0.43,3.16,0.75,0.56,1.30,1.51,0.35,0.22
977211,0,2018-AUG-30,1,STC,0.0050,0.0050,N,1,0.00,,0.00,6.18,1.94,0.30,1.45,0.00,0.00,0.00
977281,0,2004-JUL-18,0,STC,-1.0000,0.0050,F,2,0.10,0.14,0.26,21.91,4.39,3.94,3.89,8.09,1.64,0.67
977281,0,2015-AUG-25,1,STC,0.0050,0.0050,N,2,0.68,0.98,0.25,26.32,4.39,1.87,3.67,7.06,1.51,0.67
978026,0,2006-AUG-12,0,STC,0.0040,0.0040,F,2,0.29,0.41,0.40,2.13,0.44,0.96,2.75,0.00,0.00,0.00
978026,0,2014-AUG-17,1,STC,0.0050,0.0050,N,2,0.26,0.37,0.38,3.48,0.69,1.36,3.36,0.00,0.00,0.00
978036,1,2014-AUG-15,0,STC,0.0050,0.0050,N,3,0.50,0.46,0.66,4.45,0.85,1.93,4.38,0.00,0.00,0.00
978056,1,2014-SEP-23,0,STC,0.0050,0.0050,N,2,0.45,0.65,0.56,0.72,0.14,0.22,0.51,0.00,0.00,0.00
978086,1,2015-SEP-22,0,STC,0.0050,0.0050,N,4,0.74,0.53,0.90,8.71,1.49,2.09,5.03,2.44,0.43,0.56
978136,0,2003-OCT-28,0,STC,-1.0000,0.0050,F,3,0.86,0.79,0.61,5.19,1.76,1.94,2.51,0.00,0.00,0.00
978136,0,2011-AUG-31,1,STC,0.0050,0.0050,N,5,0.97,0.60,0.94,7.55,2.22,1.73,2.08,0.00,0.00,0.00
978156,0,2011-SEP-21,0,STC,0.0050,0.0050,N,7,1.38,0.71,1.66,2.35,0.84,0.75,2.04,0.00,0.00,0.00
978231,0,2002-SEP-25,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,2.87,0.72,0.15,0.45,0.00,0.00,0.00
978231,0,2013-NOV-05,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.45,0.24,0.03,0.14,0.00,0.00,0.00
984081,0,2004-AUG-31,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,8.50,1.99,1.25,3.34,3.29,0.75,0.43
984081,0,2018-AUG-21,1,STC,0.0050,0.0050,N,1,0.00,,0.00,14.62,3.26,1.96,4.93,2.42,0.52,0.32
984981,1,2015-SEP-23,0,STC,0.0050,0.0050,N,1,0.00,,0.00,1.95,0.34,0.49,1.15,0.66,0.13,0.23
985051,0,2003-OCT-15,0,STC,-1.0000,0.0050,F,5,1.47,0.91,1.74,2.04,0.53,1.94,0.51,0.00,0.00,0.00
985051,0,2008-SEP-04,1,STC,0.0050,0.0050,N,3,1.04,0.95,1.44,1.07,0.30,2.18,0.52,0.00,0.00,0.00
985051,0,2018-OCT-10,2,STC,0.0050,0.0050,N,2,0.69,0.99,0.46,2.45,0.74,0.89,1.02,0.02,0.01,0.01
985126,0,2002-SEP-26,0,STC,-1.0000,0.0050,F,5,1.56,0.97,2.23,2.66,0.61,0.73,0.39,0.00,0.00,0.00
985126,0,2013-NOV-15,1,STC,0.0050,0.0050,N,4,1.03,0.74,0.88,1.48,0.43,1.06,1.04,0.00,0.00,0.00
991766,1,2013-OCT-15,0,STC,0.0050,0.0050,N,2,0.69,0.99,0.25,26.68,4.62,5.30,11.24,1.11,0.19,0.25
991776,0,2006-SEP-10,0,STC,0.0040,0.0040,F,2,0.45,0.65,0.56,0.10,0.03,0.11,0.19,0.00,0.00,0.00
991776,0,2015-AUG-11,1,STC,0.0050,0.0050,N,3,1.10,1.00,0.91,0.22,0.05,0.10,0.16,0.05,0.02,0.05
991816,0,2006-SEP-11,0,STC,0.0040,0.0040,F,2,0.64,0.92,0.91,0.35,0.06,0.08,0.13,0.00,0.00,0.00
991816,1,2014-SEP-10,0,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
991826,0,2006-AUG-08,0,STC,0.0040,0.0040,F,6,1.39,0.77,1.10,8.27,1.20,3.23,4.47,0.07,0.00,0.04
991826,0,2014-SEP-09,1,STC,0.0050,0.0050,N,7,1.46,0.75,1.18,10.68,1.69,4.35,6.02,0.05,0.00,0.04
991866,1,2015-JUN-21,0,STC,0.0050,0.0050,N,4,1.24,0.90,1.25,0.72,0.14,0.26,0.70,0.22,0.04,0.07
991881,0,2006-JUL-13,0,STC,0.0040,0.0040,F,3,0.52,0.47,0.50,34.86,0.41,7.96,3.93,0.73,0.05,0.29
991881,1,2015-AUG-16,0,STC,0.0050,0.0050,N,6,1.66,0.92,1.52,1.09,0.44,0.36,0.25,0.00,0.00,0.00
991906,0,2003-OCT-30,0,STC,-1.0000,0.0050,F,7,1.19,0.61,1.80,2.45,1.17,1.04,0.53,0.00,0.00,0.00
991906,0,2008-SEP-10,1,STC,0.0050,0.0050,N,5,1.20,0.75,1.34,0.89,0.37,0.58,0.35,0.08,0.03,0.03
991906,0,2018-OCT-12,2,STC,0.0050,0.0050,N,4,1.22,0.88,1.17,1.40,0.47,0.59,0.35,0.50,0.14,0.14
991946,0,2003-AUG-27,0,STC,-1.0000,0.0050,F,7,1.63,0.84,2.34,2.39,0.32,1.20,0.45,0.00,0.00,0.00
991946,0,2011-OCT-04,1,STC,0.0050,0.0050,N,5,1.49,0.93,1.52,0.05,0.02,0.01,0.34,0.00,0.00,0.00
991951,0,2003-AUG-28,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.63,0.12,0.80,0.88,0.00,0.00,0.00
991951,0,2013-NOV-13,1,STC,0.0050,0.0050,N,3,0.85,0.77,0.91,1.09,0.21,0.18,0.11,0.00,0.00,0.00
997836,0,2005-JUL-28,0,STC,-1.0000,0.0050,F,4,1.09,0.79,0.91,0.88,0.25,0.53,0.62,1.04,0.29,0.09
997836,0,2018-AUG-22,1,STC,0.0050,0.0050,N,3,0.91,0.83,0.55,2.74,0.72,0.50,1.27,0.00,0.00,0.00
997846,0,2005-JUL-27,0,STC,-1.0000,0.0050,F,6,1.44,0.80,1.43,6.17,1.52,1.07,2.29,1.32,0.29,0.21
997846,0,2018-AUG-31,1,STC,0.0050,0.0050,N,3,0.88,0.80,0.53,11.07,2.77,1.03,3.16,0.36,0.09,0.05
997851,0,2005-JUL-28,0,STC,-1.0000,0.0050,F,2,0.47,0.67,0.35,3.24,0.75,0.51,1.24,0.12,0.00,0.00
997851,0,2018-AUG-31,1,STC,0.0050,0.0050,N,1,0.00,,0.00,14.17,3.20,1.97,5.01,0.11,0.03,0.02
997881,0,2005-JUL-26,0,STC,-1.0000,0.0050,F,4,0.90,0.65,0.96,0.40,0.16,0.15,0.32,0.15,0.04,0.01
997881,0,2018-AUG-19,1,STC,0.0050,0.0050,N,3,0.58,0.52,0.53,7.30,1.58,1.58,1.69,0.00,0.00,0.00
997886,0,2004-JUL-16,0,STC,-1.0000,0.0050,F,3,0.10,0.09,0.43,11.67,2.83,1.48,4.59,2.73,0.64,0.21
997891,0,2004-JUL-16,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.01,0.00,0.00,0.02,2.16,0.43,0.15
998696,1,2014-SEP-14,0,STC,0.0050,0.0050,N,5,1.09,0.68,1.23,6.46,1.24,1.90,3.56,0.01,0.00,0.01
998711,1,2014-SEP-13,0,STC,0.0050,0.0050,N,3,0.68,0.62,0.45,6.37,1.09,1.56,5.24,0.03,0.00,0.00
998721,0,2006-AUG-16,0,STC,0.0040,0.0040,F,5,1.34,0.83,1.38,0.72,0.14,0.40,1.60,0.28,0.05,0.07
998721,0,2014-AUG-26,1,STC,0.0050,0.0050,N,6,1.40,0.78,1.22,2.98,0.57,1.36,4.22,0.00,0.00,0.00
998766,0,2006-JUL-11,0,STC,0.0040,0.0040,F,4,0.71,0.51,0.93,2.98,0.38,2.45,0.84,0.00,0.00,0.00
998766,1,2017-JUN-14,0,STC,0.0050,0.0050,N,7,1.55,0.80,1.51,3.29,0.59,1.97,0.93,1.13,0.15,1.18
998771,0,2006-JUL-10,0,STC,0.0040,0.0040,F,1,0.00,,0.00,12.01,3.67,3.49,4.82,0.40,0.18,0.15
998771,1,2017-JUN-13,0,STC,0.0050,0.0050,N,1,0.00,,0.00,4.64,0.97,0.29,0.45,2.38,0.61,0.26
1004761,0,2003-AUG-27,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.96,0.87,0.63,1.33,0.26,0.06,0.04
1004761,0,2016-AUG-18,1,STC,0.0050,0.0050,N,1,0.00,,0.00,5.00,1.01,0.63,1.24,0.00,0.00,0.00
1005561,0,2006-AUG-15,0,STC,0.0040,0.0040,F,3,0.88,0.80,0.53,5.83,1.09,2.44,8.03,0.00,0.00,0.00
1005621,1,2015-AUG-13,0,STC,0.0050,0.0050,N,4,0.71,0.51,0.72,10.32,1.89,3.83,6.04,1.84,0.35,0.71
1005781,0,2003-OCT-09,0,STC,-1.0000,0.0050,F,3,0.93,0.84,0.78,5.62,1.54,2.48,2.14,0.00,0.00,0.00
1005781,0,2013-NOV-13,1,STC,0.0050,0.0050,N,2,0.35,0.50,0.46,12.81,2.20,0.62,1.38,0.54,0.27,0.23
1011666,0,2003-AUG-24,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.03,0.01,0.00,0.02,13.22,2.81,1.77
1011666,0,2016-AUG-23,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.36,0.09,0.08,0.21,8.81,1.96,1.36
1011681,0,2003-AUG-23,0,STC,-1.0000,0.0050,F,3,0.47,0.43,0.55,17.60,4.11,3.13,5.21,1.06,0.29,0.11
1011681,0,2015-AUG-24,1,STC,0.0050,0.0050,N,2,0.56,0.81,0.48,11.77,2.24,0.77,1.88,12.43,2.49,1.01
1011706,0,2004-JUL-18,0,STC,-1.0000,0.0050,F,2,0.23,0.34,0.29,1.70,0.57,1.04,0.33,0.44,0.18,0.58
1011706,0,2015-AUG-24,1,STC,0.0050,0.0050,N,2,0.64,0.92,0.56,1.20,0.32,0.15,0.13,0.00,0.00,0.00
1012486,1,2014-AUG-27,0,STC,0.0050,0.0050,N,4,1.00,0.72,0.87,11.39,2.02,2.03,4.11,1.86,0.33,0.55
1012491,0,2006-AUG-13,0,STC,0.0040,0.0040,F,7,1.52,0.78,1.66,28.03,5.20,6.99,8.00,1.32,0.26,0.34
1012491,0,2014-SEP-26,1,STC,0.0050,0.0050,N,5,1.22,0.75,1.10,30.41,5.50,6.25,7.20,8.76,1.61,1.80
1012511,1,2015-JUN-20,0,STC,0.0050,0.0050,N,5,1.33,0.83,1.21,2.71,0.49,0.51,1.65,0.05,0.01,0.01
1012526,0,2006-JUL-12,0,STC,0.0040,0.0040,F,4,0.99,0.71,0.92,0.50,0.22,0.31,0.48,0.00,0.00,0.00
1012526,1,2015-AUG-15,0,STC,0.0050,0.0050,N,6,1.25,0.70,1.28,1.00,0.07,0.66,0.53,0.00,0.00,0.00
1012656,0,2003-OCT-10,0,STC,-1.0000,0.0050,F,2,0.50,0.72,0.43,7.99,1.97,0.52,1.33,0.00,0.00,0.00
1012656,0,2013-NOV-14,1,STC,0.0050,0.0050,N,2,0.14,0.20,0.24,2.01,0.62,0.69,1.66,0.00,0.00,0.00
1018501,0,2003-AUG-26,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.66,0.13,0.20,0.25,0.00,0.00,0.00
1018501,0,2016-AUG-17,1,STC,0.0050,0.0050,N,2,0.30,0.44,0.42,5.57,1.05,1.23,0.82,0.00,0.00,0.00
1018511,0,2004-JUL-14,0,STC,-1.0000,0.0050,F,3,0.59,0.54,0.60,4.05,1.12,0.78,1.08,0.92,0.22,0.16
1018511,0,2016-AUG-18,1,STC,0.0050,0.0050,N,3,0.78,0.71,0.61,3.76,0.93,0.48,1.37,0.42,0.10,0.07
1018521,0,2003-AUG-29,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,9.30,2.05,1.39,3.06,0.74,0.00,0.00
1018521,0,2016-AUG-19,1,STC,0.0050,0.0050,N,1,0.00,,0.00,10.34,2.07,1.05,2.27,1.65,0.19,0.13
1018531,0,2003-AUG-28,0,STC,-1.0000,0.0050,F,0,,,,0.00,0.00,0.00,0.00,7.04,1.61,1.00
1018531,0,2016-AUG-20,1,STC,0.0050,0.0050,N,1,0.00,,0.00,0.03,0.01,0.01,0.03,3.19,0.77,0.53
1018546,0,2003-AUG-24,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,9.22,1.85,3.27,1.75,0.70,0.14,0.17
1018546,0,2009-JUL-27,1,STC,0.0050,0.0050,N,1,0.00,,0.00,16.10,2.43,1.23,1.89,0.00,0.00,0.00
1018566,0,2003-AUG-23,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,6.77,1.58,1.10,2.76,0.00,0.00,0.00
1018566,0,2009-JUL-27,1,STC,0.0050,0.0050,N,1,0.00,,0.00,9.19,2.04,1.19,3.00,0.00,0.00,0.00
1019266,0,2006-AUG-03,0,STC,0.0040,0.0040,F,3,0.78,0.71,0.69,0.04,0.00,0.08,0.07,0.01,0.00,0.00
1019266,0,2014-OCT-11,1,STC,0.0050,0.0050,N,4,1.07,0.77,0.90,0.38,0.09,0.13,0.43,0.00,0.00,0.00
1019286,0,2006-AUG-01,0,STC,0.0040,0.0040,F,2,0.45,0.65,0.35,3.13,0.60,1.09,2.89,0.00,0.00,0.00
1019286,0,2013-OCT-16,1,STC,0.0050,0.0050,N,2,0.22,0.31,0.35,1.56,0.34,0.74,2.32,0.00,0.00,0.00
1019326,1,2014-SEP-27,0,STC,0.0050,0.0050,N,2,0.45,0.65,0.40,2.03,0.34,0.41,1.05,0.29,0.05,0.09
1019386,0,2006-AUG-06,0,STC,0.0040,0.0040,F,7,1.45,0.74,1.49,13.14,2.39,5.09,11.87,1.10,0.20,0.28
1019386,1,2015-JUN-19,0,STC,0.0050,0.0050,N,2,0.59,0.85,0.42,5.88,1.01,1.18,2.26,0.18,0.04,0.07
1019481,0,2003-NOV-19,0,STC,-1.0000,0.0050,F,3,0.76,0.69,0.76,6.32,1.45,3.47,3.01,0.00,0.00,0.00
1019481,0,2013-OCT-10,1,STC,0.0050,0.0050,N,2,0.38,0.54,0.48,6.71,1.16,1.96,2.14,0.68,0.21,0.31
1025351,0,2004-JUL-13,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,7.89,1.76,1.09,2.59,0.27,0.07,0.04
1025351,0,2018-AUG-17,1,STC,0.0050,0.0050,N,1,0.00,,0.00,13.91,2.93,1.65,3.77,0.00,0.00,0.00
1025376,0,2003-AUG-27,0,STC,-1.0000,0.0050,F,2,0.08,0.12,0.24,6.66,1.69,1.30,3.39,0.00,0.00,0.00
1025376,0,2016-AUG-19,1,STC,0.0050,0.0050,N,1,0.00,,0.00,11.30,2.65,1.78,4.62,0.14,0.06,0.17
1025421,0,2003-AUG-25,0,STC,-1.0000,0.0050,F,3,0.39,0.35,0.44,14.47,4.07,2.94,3.49,0.20,0.08,0.02
1025421,0,2016-AUG-23,1,STC,0.0050,0.0050,N,3,0.16,0.15,0.49,21.36,5.27,1.80,3.14,0.86,0.24,0.10
1025501,0,2003-AUG-19,0,STC,-1.0000,0.0050,F,2,0.11,0.15,0.26,13.50,2.37,11.20,12.88,0.00,0.00,0.00
1025501,0,2009-JUL-23,1,STC,0.0050,0.0050,N,1,0.00,,0.00,5.18,0.93,0.79,1.94,0.00,0.00,0.00
1026191,1,2014-OCT-12,0,STC,0.0050,0.0050,N,4,1.06,0.76,0.80,3.75,0.64,1.31,2.56,1.92,0.35,0.57
1032241,0,2004-JUL-14,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,4.06,1.09,1.14,0.81,0.28,0.09,0.07
1032241,0,2018-AUG-18,1,STC,0.0050,0.0050,N,1,0.00,,0.00,3.45,0.70,0.24,0.60,1.51,0.35,0.13
1032286,0,2003-AUG-28,0,STC,-1.0000,0.0050,F,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1032286,0,2016-AUG-20,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.02,0.01,0.00
