nfi_plot,loc_id,meas_num,smtree_species_num,smtree_genus,smtree_species,smtree_variety,smtree_percent
751191,0,0,7,SORB,AME,,2
751191,0,0,8,PICE,GLA,,1
751191,0,0,9,ACER,RUB,,0
751191,0,1,1,ABIE,BAL,,89
751191,0,1,2,PICE,MAR,,7
751191,0,1,3,BETU,PAP,,4
751191,0,1,4,ABIE,PIN,,0
751191,0,1,5,PICE,GLA,,0
777571,0,0,1,PICE,MAR,,100
777611,0,0,1,PICE,GLA,,100
778621,1,0,1,ABIE,BAL,,93
778621,1,0,2,PICE,MAR,,6
778621,1,0,3,PICE,GLA,,1
778621,1,0,4,BETU,PAP,,1
784461,0,0,1,PICE,GLA,,100
785506,1,0,1,ABIE,BAL,,79
785506,1,0,2,PICE,MAR,,15
785506,1,0,3,PICE,GLA,,5
791331,0,0,1,PICE,MAR,,100
798196,0,0,1,PICE,MAR,,67
798196,0,0,2,LARI,LAR,,33
798221,0,0,1,PICE,GLA,,100
805121,0,0,1,PICE,GLA,,100
805126,0,0,1,PICE,GLA,,93
805126,0,0,2,PICE,MAR,,7
805141,0,0,1,PICE,MAR,,66
805141,0,0,2,PICE,GLA,,34
806156,0,0,1,ABIE,BAL,,100
806156,0,1,1,ABIE,BAL,,100
811951,0,0,1,PICE,MAR,,95
811951,0,0,2,LARI,LAR,,5
812001,0,0,1,BETU,NEO,,100
812016,0,0,1,LARI,LAR,,53
812016,0,0,2,PICE,MAR,,44
812016,0,0,3,PICE,GLA,,3
812056,0,0,1,PICE,GLA,,48
812056,0,0,2,PICE,MAR,,38
812056,0,0,3,BETU,GLA,,7
812056,0,0,4,SALI,PLA,,5
812056,0,0,5,SALI,SPP,,4
818836,0,0,1,PICE,MAR,,100
818856,0,0,1,PICE,MAR,,100
825796,0,0,1,PICE,MAR,,51
825796,0,0,2,PICE,GLA,,36
825796,0,0,3,ALNU,CRI,,14
832646,0,0,1,PICE,MAR,,100
832656,0,0,1,PICE,GLA,,63
832656,0,0,2,LARI,LAR,,37
833646,0,0,1,PICE,MAR,,100
833646,0,0,2,LARI,LAR,,0
833646,0,1,1,PICE,MAR,,100
833646,0,1,2,LARI,LAR,,0
839536,0,0,1,PICE,MAR,,83
839536,0,0,2,LARI,LAR,,17
839551,0,0,1,PICE,GLA,,62
839551,0,0,2,BETU,GLA,,23
839551,0,0,3,LARI,LAR,,8
839551,0,0,4,SALI,SPP,,8
839566,0,0,1,PICE,GLA,,94
839566,0,0,2,BETU,GLA,,6
846411,0,0,1,PICE,MAR,,54
846411,0,0,2,LARI,LAR,,46
846436,0,0,1,PICE,MAR,,99
846436,0,0,2,BETU,GLA,,1
846466,0,0,1,LARI,LAR,,61
846466,0,0,2,PICE,GLA,,39
853296,0,0,1,PICE,GLA,,74
853296,0,0,2,LARI,LAR,,11
853296,0,0,3,SALI,SPP,,8
853296,0,0,4,BETU,PAP,NEO,4
853296,0,0,5,POPU,BAL,,3
853296,0,0,6,ALNU,CRI,,1
853296,0,0,7,PICE,MAR,,1
853326,0,0,1,PICE,MAR,,46
853326,0,0,2,LARI,LAR,,45
853326,0,0,3,PICE,GLA,,7
853326,0,0,4,BETU,GLA,,2
853346,0,0,1,PICE,GLA,,95
853346,0,0,2,SALI,SPP,,3
853346,0,0,3,ALNU,CRI,,1
853346,0,0,4,PICE,MAR,,1
854281,1,0,1,ABIE,BAL,,73
854281,1,0,2,PICE,MAR,,27
854281,1,0,3,BETU,PAP,,0
860171,0,0,1,PICE,MAR,,97
860171,0,0,2,PICE,GLA,,3
861151,0,0,1,ABIE,BAL,,61
861151,0,0,2,PICE,GLA,,39
861151,0,1,1,ABIE,BAL,,80
861151,0,1,2,PICE,MAR,,20
861151,0,1,3,BETU,PAP,,0
867091,0,0,1,PICE,MAR,,50
867091,0,0,2,PICE,GLA,,38
867091,0,0,3,BETU,GLA,,6
867091,0,0,4,SALI,SPP,,3
867091,0,0,5,SALI,PLA,,2
867091,0,0,6,LARI,LAR,,1
873921,0,0,1,PICE,MAR,,82
873921,0,0,2,LARI,LAR,,18
873961,0,0,1,PICE,MAR,,84
873961,0,0,2,LARI,LAR,,10
873961,0,0,3,BETU,GLA,,3
873961,0,0,4,PICE,SPP,,2
874051,0,0,1,POPU,TRE,,61
874051,0,0,2,PICE,GLA,,40
880786,0,0,1,PICE,MAR,,100
880796,0,0,1,PICE,MAR,,85
880796,0,0,2,LARI,LAR,,15
880806,0,0,1,PICE,MAR,,98
880806,0,0,2,LARI,LAR,,2
880821,0,0,1,PICE,MAR,,46
880821,0,0,2,SALI,SPP,,23
880821,0,0,3,LARI,LAR,,16
880821,0,0,4,ALNU,CRI,,14
880821,0,0,5,PICE,GLA,,2
880841,0,0,1,PICE,MAR,,79
880841,0,0,2,BETU,PAP,,21
880846,0,0,1,LARI,LAR,,67
880846,0,0,2,PICE,MAR,,33
880886,0,0,1,PICE,GLA,,93
880886,0,0,2,PICE,MAR,,4
880886,0,0,3,BETU,GLA,,4
881726,0,0,1,UNKN,SPP,,100
881726,0,1,1,BETU,GLA,,100
881761,0,0,1,ABIE,BAL,,65
881761,0,0,2,PICE,MAR,,35
881766,1,0,1,PICE,MAR,,77
881766,1,0,2,ABIE,BAL,,23
881766,1,0,3,PICE,GLA,,0
881786,0,0,1,ABIE,BAL,,100
881786,0,1,1,ABIE,BAL,,100
881936,0,0,1,ABIE,BAL,,75
881936,0,0,2,PICE,GLA,,25
881936,0,1,1,ABIE,BAL,,100
887701,0,0,1,PICE,MAR,,94
887701,0,0,2,ALNU,CRI,,2
887701,0,0,3,BETU,GLA,,2
887701,0,0,4,LARI,LAR,,2
887706,0,0,1,BETU,GLA,,60
887706,0,0,2,ALNU,CRI,,20
887706,0,0,3,SALI,SPP,,20
887711,0,0,1,PICE,MAR,,100
887751,0,0,1,PICE,MAR,,87
887751,0,0,2,LARI,LAR,,12
887751,0,0,3,PICE,GLA,,1
887751,0,0,4,SALI,SPP,,1
887761,0,0,1,PICE,MAR,,57
887761,0,0,2,PICE,GLA,,23
887761,0,0,3,SALI,SPP,,11
887761,0,0,4,BETU,GLA,,10
894591,0,0,1,PICE,MAR,,65
894591,0,0,2,SALI,SCO,,16
894591,0,0,3,POPU,TRE,,11
894591,0,0,4,BETU,PAP,,9
894591,0,0,5,BETU,PAP,NEO,1
895586,0,0,1,PICE,GLA,,45
895586,0,0,2,ABIE,BAL,,28
895586,0,0,3,NEMO,MUC,,26
895586,0,0,4,ACER,SPI,,0
895586,0,0,5,ALNU,CRI,,0
895586,0,0,6,ACER,RUB,,0
895611,0,0,1,ALNU,INC,RUG,48
895611,0,0,2,ACER,SPI,,35
895611,0,0,3,ABIE,BAL,,12
895611,0,0,4,PICE,GLA,,2
895611,0,0,5,SORB,AME,,2
895611,0,0,6,CORN,STO,,0
895611,0,0,7,NEMO,MUC,,0
901471,0,0,1,PICE,MAR,,99
901471,0,0,2,ALNU,CRI,,2
901506,0,0,1,PICE,MAR,,52
901506,0,0,2,LARI,LAR,,48
901546,0,0,1,PICE,MAR,,57
901546,0,0,2,PICE,GLA,,31
901546,0,0,3,LARI,LAR,,12
901566,0,0,1,PICE,MAR,,100
902356,0,0,1,PICE,MAR,,100
902356,0,1,1,PICE,MAR,,100
902421,1,0,1,PICE,MAR,,88
902421,1,0,2,ABIE,BAL,,7
902421,1,0,3,SORB,DEC,,2
902421,1,0,4,AMEL,BAR,,2
902421,1,0,5,ILEX,MUC,,1
908331,0,0,1,PICE,MAR,,100
908381,0,0,1,PICE,MAR,,100
909276,0,0,1,PICE,MAR,,82
909276,0,0,2,PICE,GLA,,13
909276,0,0,3,ABIE,BAL,,5
909276,0,0,4,AMEL,SPP,,0
909276,1,0,1,ABIE,BAL,,95
909276,1,0,2,BETU,PAP,,3
909276,1,0,3,PICE,MAR,,3
909336,0,0,1,ABIE,BAL,,39
909336,0,0,2,PRUN,PEN,,18
909336,0,0,3,SORB,AME,,17
909336,0,0,4,BETU,PAP,,17
909336,0,0,5,LARI,LAR,,5
909336,0,0,6,PICE,GLA,,4
909336,0,0,7,ACER,SPI,,0
909466,0,0,1,ABIE,BAL,,70
909466,0,0,2,PRUN,PEN,,30
909466,0,1,1,PRUN,PEN,,100
909476,0,0,1,ABIE,BAL,,100
909476,0,1,1,ABIE,BAL,,100
915246,0,0,1,PICE,SPP,,98
915246,0,0,2,PICE,GLA,,1
915246,0,0,3,PICE,MAR,,1
915266,0,0,1,PICE,MAR,,98
915266,0,0,2,ALNU,CRI,,1
915266,0,0,3,BETU,GLA,,1
915266,0,0,4,SALI,SPP,,1
915301,0,0,1,SALI,PLA,,60
915301,0,0,2,POPU,TRE,,40
916121,1,0,1,PICE,MAR,,100
916171,0,0,1,PICE,MAR,,100
916171,0,1,1,PICE,MAR,,100
