nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_strel
744171,0,1,2,ABIE,BAL,,0.136
744316,0,0,1,ABIE,BAL,,0.846
744316,0,0,2,PICE,MAR,,0.154
744316,0,1,1,ABIE,BAL,,0.944
744316,0,1,2,PICE,MAR,,0.056
751191,0,0,1,ABIE,BAL,,0.619
751191,0,0,2,BETU,PAP,,0.110
751191,0,0,3,AMEL,SPP,,0.090
751191,0,0,4,PICE,MAR,,0.052
751191,0,0,5,ACER,SPI,,0.039
751191,0,0,6,NEMO,MUC,,0.039
751191,0,0,7,SORB,AME,,0.032
751191,0,0,8,PICE,GLA,,0.013
751191,0,0,9,ACER,RUB,,0.006
751191,0,1,1,ABIE,BAL,,0.798
751191,0,1,2,BETU,PAP,,0.113
751191,0,1,3,PICE,MAR,,0.065
751191,0,1,4,PICE,GLA,,0.016
751191,0,1,5,ABIE,PIN,,0.008
777571,0,0,1,PICE,MAR,,1.000
777611,0,0,1,PICE,GLA,,1.000
778621,1,0,1,ABIE,BAL,,0.837
778621,1,0,2,BETU,PAP,,0.082
778621,1,0,3,PICE,GLA,,0.041
778621,1,0,4,PICE,MAR,,0.041
784461,0,0,1,PICE,GLA,,1.000
785506,1,0,1,ABIE,BAL,,0.900
785506,1,0,2,PICE,MAR,,0.075
785506,1,0,3,PICE,GLA,,0.025
791331,0,0,1,PICE,MAR,,1.000
798196,0,0,1,PICE,MAR,,0.727
798196,0,0,2,LARI,LAR,,0.273
798221,0,0,1,PICE,GLA,,1.000
805121,0,0,1,PICE,GLA,,1.000
805126,0,0,1,PICE,GLA,,0.667
805126,0,0,2,PICE,MAR,,0.333
805141,0,0,1,PICE,MAR,,0.750
805141,0,0,2,PICE,GLA,,0.250
806156,0,0,1,ABIE,BAL,,1.000
806156,0,1,1,ABIE,BAL,,1.000
811951,0,0,1,PICE,MAR,,0.818
811951,0,0,2,LARI,LAR,,0.182
812001,0,0,1,BETU,NEO,,1.000
812016,0,0,1,PICE,MAR,,0.571
812016,0,0,2,LARI,LAR,,0.357
812016,0,0,3,PICE,GLA,,0.071
812056,0,0,1,BETU,GLA,,0.261
812056,0,0,2,PICE,GLA,,0.217
812056,0,0,3,PICE,MAR,,0.217
812056,0,0,4,SALI,PLA,,0.174
812056,0,0,5,SALI,SPP,,0.130
818836,0,0,1,PICE,MAR,,1.000
818856,0,0,1,PICE,MAR,,1.000
825796,0,0,1,ALNU,CRI,,0.529
825796,0,0,2,PICE,GLA,,0.294
825796,0,0,3,PICE,MAR,,0.176
832646,0,0,1,PICE,MAR,,1.000
832656,0,0,1,LARI,LAR,,0.571
832656,0,0,2,PICE,GLA,,0.429
833646,0,0,1,PICE,MAR,,0.909
833646,0,0,2,LARI,LAR,,0.091
833646,0,1,1,PICE,MAR,,0.938
833646,0,1,2,LARI,LAR,,0.063
839536,0,0,1,PICE,MAR,,0.842
839536,0,0,2,LARI,LAR,,0.158
839551,0,0,1,BETU,GLA,,0.429
839551,0,0,2,PICE,GLA,,0.286
839551,0,0,3,LARI,LAR,,0.143
839551,0,0,4,SALI,SPP,,0.143
839566,0,0,1,BETU,GLA,,0.500
839566,0,0,2,PICE,GLA,,0.500
846411,0,0,1,LARI,LAR,,0.778
846411,0,0,2,PICE,MAR,,0.222
846436,0,0,1,PICE,MAR,,0.933
846436,0,0,2,BETU,GLA,,0.067
846466,0,0,1,LARI,LAR,,0.700
846466,0,0,2,PICE,GLA,,0.300
853296,0,0,1,PICE,GLA,,0.375
853296,0,0,2,SALI,SPP,,0.313
853296,0,0,3,LARI,LAR,,0.125
853296,0,0,4,POPU,BAL,,0.104
853296,0,0,5,ALNU,CRI,,0.042
853296,0,0,6,BETU,PAP,NEO,0.021
853296,0,0,7,PICE,MAR,,0.021
853326,0,0,1,PICE,MAR,,0.429
853326,0,0,2,LARI,LAR,,0.286
853326,0,0,3,BETU,GLA,,0.143
853326,0,0,4,PICE,GLA,,0.143
