nfi_plot,loc_id,meas_num,species_num,genus,species,variety,percent
723546,0,0,1,PICE,MAR,,73.9
723546,0,0,2,ABIE,BAL,,26.1
723666,0,0,1,PICE,MAR,,100.0
723716,0,0,1,ABIE,BAL,,100.0
723716,0,1,1,PICE,MAR,,100.0
730571,0,0,1,PICE,MAR,,60.7
730571,0,0,2,ABIE,BAL,,17.8
730571,0,0,3,BETU,PAP,,12.0
730571,0,0,4,POPU,TRE,,8.5
730571,0,0,5,LARI,LAR,,1.0
744171,0,0,1,PICE,MAR,,91.1
744171,0,0,2,ABIE,BAL,,8.9
744171,0,1,1,PICE,MAR,,87.5
744171,0,1,2,ABIE,BAL,,12.5
744316,0,0,1,PICE,MAR,,51.7
744316,0,0,2,ABIE,BAL,,48.3
744316,0,1,1,PICE,MAR,,56.1
744316,0,1,2,ABIE,BAL,,43.9
771831,0,0,1,ABIE,BAL,,52.5
771831,0,0,2,BETU,PAP,,26.9
771831,0,0,3,PICE,GLA,,20.6
777571,0,0,1,PICE,MAR,,100.0
778621,0,0,1,ABIE,BAL,,46.6
778621,0,0,2,PICE,GLA,,44.1
778621,0,0,3,BETU,PAP,,8.1
778621,0,0,4,PICE,MAR,,1.2
778621,1,0,1,ABIE,BAL,,71.2
778621,1,0,2,BETU,PAP,,28.8
784461,0,0,1,PICE,GLA,,100.0
785506,0,0,1,ABIE,BAL,,75.2
785506,0,0,2,PICE,MAR,,24.8
785506,1,0,1,PICE,MAR,,46.0
785506,1,0,2,ABIE,BAL,,41.2
785506,1,0,3,PICE,GLA,,8.0
785506,1,0,4,SALI,HUM,,3.3
785506,1,0,5,BETU,PAP,,1.5
791331,0,0,1,PICE,MAR,,100.0
798221,0,0,1,PICE,GLA,,100.0
805121,0,0,1,PICE,GLA,,100.0
805126,0,0,1,PICE,MAR,,62.4
805126,0,0,2,PICE,GLA,,37.6
805141,0,0,1,PICE,GLA,,68.8
805141,0,0,2,PICE,MAR,,31.2
806156,0,0,1,PICE,GLA,,32.8
806156,0,0,2,PICE,MAR,,31.3
806156,0,0,3,ABIE,BAL,,29.6
806156,0,0,4,BETU,PAP,,6.3
806156,0,1,1,ABIE,BAL,,47.2
806156,0,1,2,PICE,GLA,,26.9
806156,0,1,3,PICE,MAR,,20.5
806156,0,1,4,BETU,PAP,,5.4
812001,0,0,1,PICE,GLA,,100.0
812016,0,0,1,PICE,GLA,,100.0
812056,0,0,1,PICE,GLA,,96.6
812056,0,0,2,PICE,MAR,,3.4
825796,0,0,1,PICE,MAR,,53.0
825796,0,0,2,PICE,GLA,,47.0
832646,0,0,1,PICE,GLA,,57.7
832646,0,0,2,PICE,MAR,,42.3
832656,0,0,1,PICE,GLA,,74.9
832656,0,0,2,PICE,MAR,,17.2
832656,0,0,3,LARI,LAR,,7.9
833646,0,0,1,PICE,MAR,,100.0
833646,0,1,1,PICE,MAR,,100.0
839536,0,0,1,PICE,GLA,,100.0
839566,0,0,1,PICE,GLA,,100.0
846411,0,0,1,PICE,MAR,,100.0
846436,0,0,1,PICE,MAR,,100.0
846466,0,0,1,PICE,GLA,,86.2
846466,0,0,2,LARI,LAR,,13.8
853296,0,0,1,PICE,GLA,,100.0
853326,0,0,1,PICE,GLA,,92.0
853326,0,0,2,PICE,MAR,,8.0
853346,0,0,1,PICE,GLA,,96.7
853346,0,0,2,LARI,LAR,,3.3
854281,0,0,1,PICE,MAR,,63.2
854281,0,0,2,ABIE,BAL,,36.8
854281,1,0,1,ABIE,BAL,,65.5
854281,1,0,2,PICE,MAR,,34.5
854321,0,0,1,PICE,GLA,,78.7
854321,0,0,2,ABIE,BAL,,21.3
861151,0,0,1,ABIE,BAL,,52.3
861151,0,0,2,PICE,GLA,,40.2
861151,0,0,3,PICE,MAR,,7.5
861151,0,1,1,ABIE,BAL,,57.1
861151,0,1,2,PICE,GLA,,35.8
861151,0,1,3,PICE,MAR,,7.0
867091,0,0,1,PICE,GLA,,100.0
873921,0,0,1,PICE,MAR,,100.0
873961,0,0,1,PICE,GLA,,67.6
873961,0,0,2,PICE,MAR,,32.4
874051,0,0,1,PICE,GLA,,93.8
874051,0,0,2,PICE,MAR,,6.2
880806,0,0,1,LARI,LAR,,54.2
880806,0,0,2,PICE,MAR,,45.8
880821,0,0,1,PICE,MAR,,82.5
880821,0,0,2,LARI,LAR,,17.5
880841,0,0,1,PICE,MAR,,100.0
880846,0,0,1,PICE,MAR,,100.0
880886,0,0,1,PICE,MAR,,60.7
880886,0,0,2,PICE,GLA,,39.3
881761,0,0,1,ABIE,BAL,,100.0
881766,0,0,1,ABIE,BAL,,100.0
881766,1,0,1,ABIE,BAL,,76.2
881766,1,0,2,BETU,PAP,,23.8
881786,0,0,1,ABIE,BAL,,88.6
881786,0,0,2,PICE,GLA,,11.4
881786,0,1,1,ABIE,BAL,,89.4
881786,0,1,2,PICE,GLA,,10.6
881936,0,0,1,PICE,MAR,,36.0
881936,0,0,2,ABIE,BAL,,24.7
881936,0,0,3,ACER,RUB,,16.8
881936,0,0,4,PICE,GLA,,10.7
881936,0,0,5,PICE,RUB,,6.9
881936,0,0,6,BETU,PAP,,5.0
881936,0,1,1,PICE,MAR,,42.3
881936,0,1,2,ACER,RUB,,27.7
881936,0,1,3,ABIE,BAL,,13.4
881936,0,1,4,PICE,GLA,,11.1
881936,0,1,5,BETU,PAP,,5.5
887701,0,0,1,PICE,MAR,,100.0
887711,0,0,1,PICE,MAR,,92.1
887711,0,0,2,PICE,GLA,,7.9
887751,0,0,1,PICE,MAR,,73.4
887751,0,0,2,PICE,GLA,,21.3
887751,0,0,3,LARI,LAR,,5.2
887761,0,0,1,PICE,GLA,,80.9
887761,0,0,2,PICE,MAR,,19.1
894591,0,0,1,PICE,MAR,,46.5
894591,0,0,2,BETU,NEO,,40.8
894591,0,0,3,POPU,TRE,,12.7
895586,0,0,1,POPU,TRE,,84.7
895586,0,0,2,ABIE,BAL,,9.1
895586,0,0,3,PICE,GLA,,4.4
895586,0,0,4,BETU,PAP,,1.4
895586,0,0,5,ACER,RUB,,0.4
895611,0,0,1,ABIE,BAL,,78.6
895611,0,0,2,BETU,PAP,,11.7
895611,0,0,3,PICE,GLA,,9.7
901506,0,0,1,LARI,LAR,,74.2
901506,0,0,2,PICE,MAR,,25.8
901546,0,0,1,PICE,GLA,,77.8
901546,0,0,2,PICE,MAR,,22.2
901566,0,0,1,PICE,MAR,,100.0
902356,0,0,1,PICE,MAR,,92.7
902356,0,0,2,LARI,LAR,,7.3
902356,0,1,1,PICE,MAR,,90.3
902356,0,1,2,LARI,LAR,,9.7
902421,0,0,1,PICE,MAR,,55.4
902421,0,0,2,ABIE,BAL,,40.1
902421,0,0,3,PICE,GLA,,4.5
902421,1,0,1,PICE,MAR,,82.2
902421,1,0,2,ABIE,BAL,,17.8
908331,0,0,1,PICE,MAR,,100.0
909276,0,0,1,PICE,MAR,,39.6
909276,0,0,2,PICE,GLA,,31.5
909276,0,0,3,POPU,TRE,,22.2
909276,0,0,4,ABIE,BAL,,6.7
909276,1,0,1,ABIE,BAL,,71.0
909276,1,0,2,PICE,MAR,,29.0
909336,0,0,1,SORB,AME,,59.9
909336,0,0,2,BETU,PAP,,26.9
909336,0,0,3,ABIE,BAL,,7.5
909336,0,0,4,PICE,GLA,,5.7
909466,0,0,1,ABIE,BAL,,61.7
909466,0,0,2,PRUN,PEN,,23.9
909466,0,0,3,BETU,PAP,,14.5
909466,0,1,1,ABIE,BAL,,74.8
909466,0,1,2,PRUN,PEN,,21.3
909466,0,1,3,BETU,PAP,,4.0
909476,0,0,1,ABIE,BAL,,74.1
909476,0,0,2,PICE,MAR,,9.8
909476,0,0,3,ACER,RUB,,8.4
909476,0,0,4,PICE,RUB,,6.4
909476,0,0,5,BETU,PAP,,1.3
909476,0,1,1,ABIE,BAL,,74.1
